INFO:root:('Final performance for test fold:', '0', 'AUC:', '0.7351515649387991', 'Sens', '0.7598784194528876', 'Spec', '0.7104247104247104')
INFO:root:('Final performance for test fold:', '1', 'AUC:', '0.685796701352021', 'Sens', '0.851985559566787', 'Spec', '0.5196078431372549')
INFO:root:('Final performance for test fold:', '2', 'AUC:', '0.6050093777118383', 'Sens', '0.3345323741007194', 'Spec', '0.8754863813229572')
INFO:root:('Final performance for test fold:', '0', 'AUC:', '0.6858621539472602', 'Sens', '0.6960486322188449', 'Spec', '0.6756756756756757')
INFO:root:('Final performance for test fold:', '1', 'AUC:', '0.6268935371982729', 'Sens', '0.6606498194945848', 'Spec', '0.5931372549019608')
INFO:root:('Final performance for test fold:', '2', 'AUC:', '0.5734820703748286', 'Sens', '0.2014388489208633', 'Spec', '0.9455252918287937')
INFO:root:('Final performance for test fold:', '0', 'AUC:', '0.740285878583751', 'Sens', '0.7933130699088146', 'Spec', '0.6872586872586872')
INFO:root:('Final performance for test fold:', '1', 'AUC:', '0.6109134989735967', 'Sens', '0.5992779783393501', 'Spec', '0.6225490196078431')
INFO:root:('Final performance for test fold:', '2', 'AUC:', '0.5810052347227276', 'Sens', '0.25539568345323743', 'Spec', '0.9066147859922179')
INFO:root:('Final performance for test fold:', '0', 'AUC:', '0.6722664914154275', 'Sens', '0.7537993920972644', 'Spec', '0.5907335907335908')
INFO:root:('Final performance for test fold:', '1', 'AUC:', '0.6142404615275714', 'Sens', '0.703971119133574', 'Spec', '0.5245098039215687')
INFO:root:('Final performance for test fold:', '2', 'AUC:', '0.5693320829717549', 'Sens', '0.25539568345323743', 'Spec', '0.8832684824902723')
INFO:root:('Final performance for test fold:', '0', 'AUC:', '0.6400230017251294', 'Sens', '0.7781155015197568', 'Spec', '0.5019305019305019')
INFO:root:('Final performance for test fold:', '1', 'AUC:', '0.583554540949954', 'Sens', '0.6425992779783394', 'Spec', '0.5245098039215687')
INFO:root:('Final performance for test fold:', '2', 'AUC:', '0.644724687176329', 'Sens', '0.41007194244604317', 'Spec', '0.8793774319066148')
INFO:root:('Final performance for test fold:', '0', 'AUC:', '0.6637640680193873', 'Sens', '0.8024316109422492', 'Spec', '0.525096525096525')
INFO:root:('Final performance for test fold:', '1', 'AUC:', '0.6560221561548808', 'Sens', '0.7581227436823105', 'Spec', '0.553921568627451')
